ID,NAME,RN_ADDR,LB_ADDR,DETAIL_ADDR,TEL,OFF_DAY,SALES_FROM,SALES_TO,BREAK_FROM,BREAK_TO,PARKING,TYPE,SUB_TYPE,DESC,TRY,path,tag,@version,message,lng,host,lat,@timestamp
48,니코리,서울 양천구 중앙로36길 40,신정동 1048-18,1층,02-2061-5288,,11:30,22:00,15:00,18:00,FALSE,M,J,오열주의,FALSE,/Users/gksml/Programing/git/BebeeMaps/mapsview/static/csv/matzip_db2.csv,[],1,"48,니코리,서울 양천구 중앙로36길 40,신정동 1048-18,1층,02-2061-5288,,11:30,22:00,15:00,18:00,FALSE,M,J,오열주의,FALSE",126.8583925,LAPTOP-B0E88DIK,37.5197156,2019-01-22T03:54:08.483Z
52,파이홀,서울 서대문구 연세로5나길 20,창천동 57-61,,02-334-1181,,11:00,23:00,,,FALSE,D,A,"모든 파이 다 맛있음, 스모어를 데워서 한입 먹으면 에펠탑이 보이는 착시현상",FALSE,/Users/gksml/Programing/git/BebeeMaps/mapsview/static/csv/matzip_db2.csv,[],1,"52,파이홀,서울 서대문구 연세로5나길 20,창천동 57-61,,02-334-1181,,11:00,23:00,,,FALSE,D,A,""모든 파이 다 맛있음, 스모어를 데워서 한입 먹으면 에펠탑이 보이는 착시현상"",FALSE",126.9350431,LAPTOP-B0E88DIK,37.5570056,2019-01-22T03:54:08.484Z
24,케르반 베이커리,서울 용산구 이태원로 204,이태원동 126-2,,02-790-5585,,09:00,24:00,,,FALSE,D,T,"먹고갈 수 있다, 장난안치는 돈두르마를 판다, 중동식 쿠키가 더 맛",FALSE,/Users/gksml/Programing/git/BebeeMaps/mapsview/static/csv/matzip_db2.csv,[],1,"24,케르반 베이커리,서울 용산구 이태원로 204,이태원동 126-2,,02-790-5585,,09:00,24:00,,,FALSE,D,T,""먹고갈 수 있다, 장난안치는 돈두르마를 판다, 중동식 쿠키가 더 맛"",FALSE",126.9965047,LAPTOP-B0E88DIK,37.5344666,2019-01-22T03:54:08.478Z
29,황홀경,서울 관악구 관악로14길 37,봉천동 1603-20,지하1층,02-6449-7362,,12:00,23:00,,,FALSE,D,G,"독일식 팬케잌, 더치베이비 후르츠 존맛, 분위기 개깡패",FALSE,/Users/gksml/Programing/git/BebeeMaps/mapsview/static/csv/matzip_db2.csv,[],1,"29,황홀경,서울 관악구 관악로14길 37,봉천동 1603-20,지하1층,02-6449-7362,,12:00,23:00,,,FALSE,D,G,""독일식 팬케잌, 더치베이비 후르츠 존맛, 분위기 개깡패"",FALSE",126.9545918,LAPTOP-B0E88DIK,37.47890599999999,2019-01-22T03:54:08.478Z
40,금붕어식당,서울 마포구 동교로8길 39,합정동 448-18,,,"['SUN', 'MON']",13:00,21:30,16:00,18:00,FALSE,M,TH,태국음식점,FALSE,/Users/gksml/Programing/git/BebeeMaps/mapsview/static/csv/matzip_db2.csv,[],1,"40,금붕어식당,서울 마포구 동교로8길 39,합정동 448-18,,,""SUN, MON"",13:00,21:30,16:00,18:00,FALSE,M,TH,태국음식점,FALSE",126.9056101,LAPTOP-B0E88DIK,37.5503067,2019-01-22T03:54:08.481Z
41,천지샤브샤브 2호점,서울 광진구 아차산로29길 22,화양동 9-25,2층,02-466-6334,,11:00,24:00,,,FALSE,M,C,"훠궈 무한리필, 3가지 탕을 한번에",FALSE,/Users/gksml/Programing/git/BebeeMaps/mapsview/static/csv/matzip_db2.csv,[],1,"41,천지샤브샤브 2호점,서울 광진구 아차산로29길 22,화양동 9-25,2층,02-466-6334,,11:00,24:00,,,FALSE,M,C,""훠궈 무한리필, 3가지 탕을 한번에"",FALSE",127.068612,LAPTOP-B0E88DIK,37.541762,2019-01-22T03:54:08.482Z
26,진주도가,전북 전주시 완산구전라감영3길 13-5,중앙동1가 61-3,,063-287-3392,,20:00,02:00,,,FALSE,A,K,모스코뮬 꼭 드세요! 술이깨는 술맛,FALSE,/Users/gksml/Programing/git/BebeeMaps/mapsview/static/csv/matzip_db2.csv,[],1,"26,진주도가,전북 전주시 완산구전라감영3길 13-5,중앙동1가 61-3,,063-287-3392,,20:00,02:00,,,FALSE,A,K,모스코뮬 꼭 드세요! 술이깨는 술맛,FALSE",127.1430208,LAPTOP-B0E88DIK,35.8161663,2019-01-22T03:54:08.478Z
14,밤부베이커리,서울 마포구 월드컵로5길 33-23,합정동 386-11,,02-3144-0446,,11:30,23:00,,,FALSE,D,A,크루아상,FALSE,/Users/gksml/Programing/git/BebeeMaps/mapsview/static/csv/matzip_db2.csv,[],1,"14,밤부베이커리,서울 마포구 월드컵로5길 33-23,합정동 386-11,,02-3144-0446,,11:30,23:00,,,FALSE,D,A,크루아상,FALSE",126.9109228,LAPTOP-B0E88DIK,37.5505802,2019-01-22T03:54:08.475Z
19,파르투내,서울 중구 마른내로 154,광희동1가 250-1,,02-2278-7770,"['MON(1,3)']",10:00,23:00,,,FALSE,M,R,우즈벡 음식 전문점,FALSE,/Users/gksml/Programing/git/BebeeMaps/mapsview/static/csv/matzip_db2.csv,[],1,"19,파르투내,서울 중구 마른내로 154,광희동1가 250-1,,02-2278-7770,""MON(1,3)"",10:00,23:00,,,FALSE,M,R,우즈벡 음식 전문점,FALSE",127.0049665,LAPTOP-B0E88DIK,37.5645518,2019-01-22T03:54:08.476Z
44,명봉샤브샤브양꼬치,서울 광진구 뚝섬로31길 59,자양4동 4-1,광진빌딩 1층,02-498-8808,,12:00,02:00,,,FALSE,M,C,"수요미식가, 가지 볶음",FALSE,/Users/gksml/Programing/git/BebeeMaps/mapsview/static/csv/matzip_db2.csv,[],1,"44,명봉샤브샤브양꼬치,서울 광진구 뚝섬로31길 59,자양4동 4-1,광진빌딩 1층,02-498-8808,,12:00,02:00,,,FALSE,M,C,""수요미식가, 가지 볶음"",FALSE",127.0686501,LAPTOP-B0E88DIK,37.5380635,2019-01-22T03:54:08.482Z
